=== Suite started at 2026-06-18 09:59:31
=== Starting test, 3 test cases
=cases         3
=user          
=host          gemini-cli-pro
=hosts         gemini-cli-pro 
=emulator_vsn  14.2.5
=emulator      beam
=otp_release   26
=started       2026-06-18 09:59:31
=case          tls_SUITE:init_per_suite
=logfile       tls_suite.init_per_suite.html
=started       2026-06-18 09:59:31
=ended         2026-06-18 09:59:31
=result        ok
=elapsed       0.205313
=case          tls_SUITE:rsa_test
=logfile       tls_suite.rsa_test.html
=started       2026-06-18 09:59:31
=ended         2026-06-18 09:59:32
=result        ok
=elapsed       0.222356
=case          tls_SUITE:ecc_test
=logfile       tls_suite.ecc_test.html
=started       2026-06-18 09:59:32
=ended         2026-06-18 09:59:32
=result        skipped: "TLS 1.3 not supported by this Erlang/SSL build"
=== *** SKIPPED test case 2 of 3 ***
=case          tls_SUITE:sm4_test
=logfile       tls_suite.sm4_test.html
=started       2026-06-18 09:59:32
=ended         2026-06-18 09:59:34
=result        ok
=elapsed       2.024263
=case          tls_SUITE:end_per_suite
=logfile       tls_suite.end_per_suite.html
=started       2026-06-18 09:59:34
=ended         2026-06-18 09:59:34
=result        ok
=elapsed       0.002108
=group_time    2.552s
=== TEST COMPLETE, 2 ok, 0 failed, 1 skipped of 3 test cases

=finished      2026-06-18 09:59:34
=failed        0
=successful    2
=user_skipped  1
=auto_skipped  0
